City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Ribeira Grande,PT,38.5167,-28.7,63.39,86,100,27.67,light rain
151,Mahebourg,MU,-20.4081,57.7,75.49,88,40,18.41,scattered clouds
152,Faya,SA,18.3851,42.4509,64.92,43,75,3.96,broken clouds
153,East London,ZA,-33.0153,27.9116,69.71,38,0,6.49,clear sky
154,Svetlogorsk,BY,52.6333,29.7333,38.3,78,14,7.09,few clouds
155,Saint George,US,37.1041,-113.5841,83.95,12,0,6.91,clear sky
156,Ponta Do Sol,PT,32.6667,-17.1,64.71,70,100,3.29,overcast clouds
157,Bonthe,SL,7.5264,-12.505,77.09,77,87,6.15,overcast clouds
158,Rock Springs,US,41.5875,-109.2029,62.04,24,0,23.02,clear sky
159,Dubbo,AU,-32.25,148.6167,59.13,44,0,8.05,clear sky
160,Arraial Do Cabo,BR,-22.9661,-42.0278,74.1,81,0,22.44,clear sky
161,Nome,US,64.5011,-165.4064,40.15,75,0,8.05,clear sky
162,Sitka,US,57.0531,-135.33,44.49,76,100,0.0,overcast clouds
163,Avera,US,33.194,-82.5271,77.05,60,88,4.63,overcast clouds
164,Amapa,BR,1.0,-52.0,72.84,99,96,2.17,overcast clouds
165,Meulaboh,ID,4.1363,96.1285,76.96,95,100,11.03,overcast clouds
166,Kampene,CD,-3.6,26.6667,67.15,98,100,1.83,overcast clouds
167,La Orilla,MX,17.9833,-102.2333,76.33,80,43,5.73,scattered clouds
168,Rio Grande,BR,-32.035,-52.0986,60.1,72,58,2.98,broken clouds
169,Lompoc,US,34.6391,-120.4579,59.85,77,0,21.99,clear sky
170,Paso De Los Toros,UY,-32.8167,-56.5167,54.25,86,0,6.06,clear sky
171,Dunedin,NZ,-45.8742,170.5036,61.81,67,100,4.0,overcast clouds
172,Chokurdakh,RU,70.6333,147.9167,27.39,91,100,10.29,overcast clouds
173,Nicoya,CR,10.1483,-85.452,78.64,87,88,3.04,light rain
174,Abu Dhabi,AE,24.4667,54.3667,84.31,56,0,13.8,clear sky
175,Hithadhoo,MV,-0.6,73.0833,84.38,74,100,15.43,overcast clouds
