City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
366,Huarmey,PE,65.46,broken clouds,-10.0681,-78.1522,Hotel Miramar
371,Cabo San Lucas,MX,74.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
373,Kindu,CD,68.76,light rain,-2.95,25.95,Résidence Okanda
374,Eyl,SO,81.61,scattered clouds,7.9803,49.8164,Amiin Hotel
375,Katobu,ID,86.04,broken clouds,-4.9408,122.5276,La Ode Husein
382,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
384,Dwarka,IN,81.93,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
385,Ballina,AU,73.36,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
386,Pingyin,CN,81.95,overcast clouds,36.2831,116.4453,Meiyuan Hotel
390,Natal,BR,77.22,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
393,Cururupu,BR,74.52,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
394,Ahualulco,MX,82.22,scattered clouds,22.4,-101.1667,Hotel Aurelieus
397,Rabo De Peixe,PT,66.27,scattered clouds,37.8,-25.5833,Quinta das Giestas
399,Arinos,BR,69.93,clear sky,-15.9169,-46.1056,casa do bruno
400,Mareeba,AU,80.47,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
407,Simao,CN,70.7,clear sky,22.7886,100.9748,Changyu Hotel
408,Tongling,CN,79.36,clear sky,30.95,117.7833,Huoxian Hotel
409,Makubetsu,JP,67.71,clear sky,45.3714,141.8211,RED BARON Bike Station Wakkanai
410,Alta Floresta,BR,71.38,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
411,Byron Bay,AU,73.29,overcast clouds,-28.65,153.6167,Backpackers Inn
413,Dickinson,US,80.94,thunderstorm,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
414,Caraballeda,VE,82.36,overcast clouds,10.6112,-66.8522,Hotel 15 Letras
416,Floriano,BR,79.54,broken clouds,-6.7669,-43.0225,Hotel Maktub
418,Kalmunai,LK,81.41,broken clouds,7.4167,81.8167,VS Villa
421,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
430,Buchanan,LR,77.72,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
432,Kumbhraj,IN,89.28,clear sky,24.3667,77.05,Shubhodye Nebas
436,Ranau,MY,83.44,overcast clouds,5.9538,116.6641,The Second Room
437,Prado,BR,79.09,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
441,Shingu,JP,66.47,overcast clouds,33.7333,135.9833,Shingu UI Hotel
443,Mogadishu,SO,80.92,broken clouds,2.0371,45.3438,Hotel Juba
444,Malegaon,IN,83.57,clear sky,20.55,74.5333,Dinesh Lodge
447,Basco,PH,82.49,few clouds,20.4487,121.9702,Nathaniel's Lodge
448,Salgar,CO,65.79,moderate rain,5.965,-75.9654,TRITURADOS PEÑA LISA
450,Turmalina,BR,67.98,few clouds,-17.2856,-42.73,Hotel Cristal
454,Acajutla,SV,81.37,overcast clouds,13.5928,-89.8275,Laureles
455,Hato Mayor,DO,72.34,scattered clouds,18.7629,-69.256,Aparta Hotel Don Olivo
456,Fallon,US,69.67,broken clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
458,Carutapera,BR,75.61,overcast clouds,-1.195,-46.02,Lidera
459,Bandarbeyla,SO,79.83,scattered clouds,9.4942,50.8122,JABIR HOTEL
460,Tateyama,JP,66.69,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
461,Morondava,MG,72.84,clear sky,-20.2833,44.2833,La Case Bambou
466,Atar,MR,78.57,clear sky,20.5169,-13.0499,Oumou Elghoura
467,Bubaque,GW,78.35,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
468,Adjumani,UG,66.45,broken clouds,3.3779,31.7909,Hotel Zawadi
470,Gigmoto,PH,85.93,overcast clouds,13.7796,124.39,Cj's Travellers Inn
471,Vangaindrano,MG,71.01,moderate rain,-23.35,47.6,Hotel Fanilo
474,Miyang,CN,69.44,few clouds,24.4042,103.4428,Huibinlou Hotel
475,Islamkot,PK,80.71,clear sky,24.6997,70.177,Haji Hotel
476,Nuevo Progreso,MX,81.46,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
477,Yongchang,CN,79.39,clear sky,30.0381,119.7317,Xinxin Honglou Hotel
480,Luwuk,ID,87.01,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
484,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
485,Port Blair,IN,78.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
486,Mazagao,BR,82.45,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
488,Charters Towers,AU,81.54,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
491,Sabang,ID,80.69,overcast clouds,5.8933,95.3214,Hotel Citra
492,Hanmer Springs,NZ,69.15,clear sky,-42.5167,172.8167,The Chalets Motel
493,Lucapa,AO,65.61,scattered clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
497,Takaka,NZ,66.45,clear sky,-40.85,172.8,Golden Bay Motels
500,Buraydah,SA,81.05,clear sky,26.326,43.975,Mövenpick Qassim
501,Noumea,NC,82.38,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
502,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
